tid,equipment,pid,vid,words,res,resagain
101,0,0,0,打开配网模式,,
102,0,0,0,切换蓝牙模式,,
103,0,0,0,切换WIFI模式,,
104,0,0,0,开始播放/继续播放,,
105,0,0,0,暂停播放/停止播放,,
106,0,0,0,播放上一曲,,
107,0,0,0,播放下一曲,,
200,4,1,0,开始清扫,已开启,正在清扫中
201,4,1,1,停止清扫,已停止,扫地机已关闭
202,4,1000,0,自动清扫,设置成功,路径已是自动
203,4,1000,1,延边清扫,设置成功,路径已是延边
204,4,1000,2,局部清扫,设置成功,路径已是局部
205,4,1000,3,定点清扫,设置成功,路径已是定点
206,4,1001,0,开始充电,已开始,正在充电中
207,4,1001,1,停止充电,已停止,当前未在充电
208,4,1002,0,安静模式,设置成功,模式已是安静
209,4,1002,1,标准模式,设置成功,模式已是标准
210,4,1002,2,强力模式,设置成功,模式已是强力
211,4,1002,3,全速模式,设置成功,模式已是全速
